Time (s)	Set Voltage (v)	Voltage (V)
0.000000	0.000000	42.000000
0.050000	0.002500	42.000000
0.100000	0.005000	42.000000
0.150000	0.007500	42.000000
0.200000	0.010000	42.000000
0.250000	0.012500	42.000000
0.300000	0.015000	42.000000
0.350000	0.017500	42.000000
0.400000	0.020000	42.000000
0.450000	0.022500	42.000000
0.500000	0.025000	42.000000
0.550000	0.027500	42.000000
0.600000	0.030000	42.000000
0.650000	0.032500	42.000000
0.700000	0.035000	42.000000
0.750000	0.037500	42.000000
0.800000	0.040000	42.000000
0.850000	0.042500	42.000000
0.900000	0.045000	42.000000
0.950000	0.047500	42.000000
1.000000	0.050000	42.000000
1.050000	0.052500	42.000000
1.100000	0.055000	42.000000
1.150000	0.057500	42.000000
1.200000	0.060000	42.000000
1.250000	0.062500	42.000000
1.300000	0.065000	42.000000
1.350000	0.067500	42.000000
1.400000	0.070000	42.000000
1.450000	0.072500	42.000000
1.500000	0.075000	42.000000
1.550000	0.077500	42.000000
1.600000	0.080000	42.000000
1.650000	0.082500	42.000000
1.700000	0.085000	42.000000
1.750000	0.087500	42.000000
1.800000	0.090000	42.000000
1.850000	0.092500	42.000000
1.900000	0.095000	42.000000
1.950000	0.097500	42.000000
2.000000	0.100000	42.000000
2.050000	0.102500	42.000000
2.100000	0.105000	42.000000
2.150000	0.107500	42.000000
2.200000	0.110000	42.000000
2.250000	0.112500	42.000000
2.300000	0.115000	42.000000
2.350000	0.117500	42.000000
2.400000	0.120000	42.000000
2.450000	0.122500	42.000000
2.500000	0.125000	42.000000
2.550000	0.127500	42.000000
2.600000	0.130000	42.000000
2.650000	0.132500	42.000000
2.700000	0.135000	42.000000
2.750000	0.137500	42.000000
2.800000	0.140000	42.000000
2.850000	0.142500	42.000000
2.900000	0.145000	42.000000
